Title,Category,Release date,Ratings,Metascore,Page URL
 Dekalog (1988),movie,"MAR 22, 1996",TV-MA,100,https://www.metacritic.com/movie/dekalog-1988/
The Godfather,movie,"MAR 24, 1972",R,100,https://www.metacritic.com/movie/the-godfather/
Lawrence of Arabia (re-release),movie,"SEP 20, 2002",Approved,100,https://www.metacritic.com/movie/lawrence-of-arabia-re-release/
The Leopard (re-release),movie,"AUG 13, 2004",PG,100,https://www.metacritic.com/movie/the-leopard-re-release/
The Conformist,movie,"OCT 22, 1970",R,100,https://www.metacritic.com/movie/the-conformist-re-release/
Three Colors: Red,movie,"NOV 23, 1994",R,100,https://www.metacritic.com/movie/three-colors-red/
Boyhood,movie,"JUL 11, 2014",R,100,https://www.metacritic.com/movie/boyhood/
Tokyo Story,movie,"MAR 13, 1972",Not Rated,100,https://www.metacritic.com/movie/tokyo-story/
Rear Window,movie,"SEP 1, 1954",TV-PG,100,https://www.metacritic.com/movie/rear-window/
Citizen Kane,movie,"SEP 4, 1941",TV-PG,100,https://www.metacritic.com/movie/citizen-kane-1941/
Casablanca,movie,"JAN 23, 1943",Approved,100,https://www.metacritic.com/movie/casablanca/
Vertigo,movie,"MAY 28, 1958",TV-PG,100,https://www.metacritic.com/movie/vertigo-1958/
Notorious,movie,"SEP 6, 1946",Approved,100,https://www.metacritic.com/movie/notorious-1946/
Fanny and Alexander (re-release),movie,"MAY 21, 2004",R,100,https://www.metacritic.com/movie/fanny-and-alexander-re-release/
Singin' in the Rain,movie,"APR 11, 1952",Passed,99,https://www.metacritic.com/movie/singin-in-the-rain/
Playtime,movie,"JUN 27, 1973",Not Rated,99,https://www.metacritic.com/movie/playtime/
Touch of Evil,movie,"FEB 1, 1958",Passed,99,https://www.metacritic.com/movie/touch-of-evil/
Army of Shadows,movie,"APR 28, 2006",Not Rated,99,https://www.metacritic.com/movie/army-of-shadows/
City Lights,movie,"MAR 7, 1931",G,99,https://www.metacritic.com/movie/city-lights/
Moonlight,movie,"OCT 21, 2016",R,99,https://www.metacritic.com/movie/moonlight-2016/
Intolerance,movie,"SEP 5, 1916",Passed,99,https://www.metacritic.com/movie/intolerance/
The Rules of the Game,movie,"APR 8, 1950",Not Rated,99,https://www.metacritic.com/movie/the-rules-of-the-game/
Pinocchio,movie,"FEB 23, 1940",Approved,99,https://www.metacritic.com/movie/pinocchio-1940/
Seven Samurai,movie,"NOV 19, 1956",Not Rated,98,https://www.metacritic.com/movie/seven-samurai-1954/
 The Wild Bunch,movie,"JUN 18, 1969",R,98,https://www.metacritic.com/movie/the-wild-bunch/
Au hasard Balthazar,movie,"SEP 16, 1966",Not Rated,98,https://www.metacritic.com/movie/au-hasard-balthazar/
The Lady Vanishes,movie,"NOV 1, 1938",Approved,98,https://www.metacritic.com/movie/the-lady-vanishes-1938/
Pépé le Moko (re-release),movie,"MAR 1, 2002",Not Rated,98,https://www.metacritic.com/movie/pepe-le-moko-re-release/
The Treasure of the Sierra Madre,movie,"JAN 24, 1948",Approved,98,https://www.metacritic.com/movie/the-treasure-of-the-sierra-madre/
Pan's Labyrinth,movie,"DEC 29, 2006",R,98,https://www.metacritic.com/movie/pans-labyrinth/
Some Like It Hot,movie,"MAR 29, 1959",Approved,98,https://www.metacritic.com/movie/some-like-it-hot/
North by Northwest,movie,"AUG 6, 1959",Approved,98,https://www.metacritic.com/movie/north-by-northwest/
Hoop Dreams,movie,"OCT 14, 1994",PG-13,98,https://www.metacritic.com/movie/hoop-dreams/
Rashomon,movie,"DEC 26, 1951",Not Rated,98,https://www.metacritic.com/movie/rashomon/
The Passion of Joan of Arc,movie,"MAR 28, 1929",Passed,98,https://www.metacritic.com/movie/the-passion-of-joan-of-arc/
All About Eve,movie,"OCT 27, 1950",Approved,98,https://www.metacritic.com/movie/all-about-eve/
